TITLE,original_genre,predicted_genre
Edgar's Lunch (1998),thriller,drama
La guerra de papá (1977),comedy,drama
Off the Beaten Track (2010),documentary,documentary
Meu Amigo Hindu (2015),drama,drama
Er nu zhai (1955),drama,drama
Riddle Room (2016),horror,drama
L'amica (1969),drama,drama
Ina Mina Dika (1989),comedy,comedy
Equinox Special: Britain's Tornados (2005),documentary,documentary
Press (2011),drama,drama
The Firm Man (1975),drama,drama
Out of Here (2013/I),drama,drama
Tip 2 (1990),drama,drama
Hero of the Day (2012),drama,documentary
Das letzte Mal (2000),short,drama
The Man in Every Shot (2010),documentary,documentary
The Kettles on Old MacDonald's Farm (1957),comedy,comedy
The Patriot (1916),western,western
"""The Rogue Legends Series"" (2017)",documentary,documentary
A Case of Mistaken Identity? (2008),documentary,drama
Dinner for Three (2016),short,drama
Crack Baby (????),drama,documentary
Paper Marilyn (1994),documentary,documentary
A Tribute to Rick Nelson (1986),documentary,documentary
The Silent Rice Fields of Bakan (2016),documentary,documentary
Otetz Ivan i negovite detza (2010),documentary,documentary
What's Left (2018),drama,comedy
The Tunnel (????/II),family,drama
EWR Revolution 2.0 (2005),sport,sport
Welcome to Welloak (????),horror,comedy
Pioneers of the West (1927),western,drama
The Message of Hope (1923),drama,drama
Jose Jiminez Discovers America (1968),documentary,documentary
Mafia Heaven (????),comedy,comedy
In Our Lifetime (2017),drama,drama
By Their Own Hand: Police Suicides (1991),documentary,drama
Snow (2017/II),drama,drama
Love Inn Exile (2000),romance,comedy
"""Voyna na zapadnom napravlenii"" (1990)",war,documentary
Les Fripiat (1987),drama,drama
Hyaku iro megane (2003),short,drama
"""Bride vs. Bride"" (2006)",game-show,comedy
Breakfast Klub the DocKumentary (2005),short,documentary
The Bridges That Built London (2012),documentary,documentary
Shelter Me: Partners for Life (2015),documentary,documentary
Da Vinci Code Decoded (2004),documentary,documentary
"""El Acabose"" (2017)",comedy,documentary
"""Priceless"" (2012)",comedy,drama
Jump In: The Movie (2013),drama,drama
The Lazy Desperation (2006),documentary,documentary
"Jasper, Texas (2003)",drama,drama
Perfect Pie (2002),drama,drama
Partners in Time (1946),comedy,drama
Manje' (2007),horror,drama
"""Caught"" (2002)",biography,drama
Manhole Children (2009),documentary,documentary
Brian (????),drama,drama
Sin of Lust (1976),adult,drama
The Saphead (1920),comedy,drama
Philanthropy Inc (2009),documentary,documentary
Challenging Heaven (2014),short,drama
Rosetta (1999),drama,drama
Karussell (2016),drama,comedy
